COU_ID;COU_NAME
1104;Comoros                          
1105;Comoros                          
1106;Comoros                          
1107;Comoros                          
1108;Comoros                          
1109;Comoros                          
1110;Comoros                          
1111;Comoros                          
1112;Comoros                          
1113;Comoros                          
1114;Comoros                          
1115;Comoros                          
1116;Comoros Islands                  
1117;Congo                            
1118;Congo Democratic Republic        
1119;Congo, DRC                       
1120;Congo, DRC                       
1121;Congo, DRC                       
1122;Congo, DRC                       
1123;Congo, DRC                       
1124;Congo, DRC                       
1125;Congo, DRC                       
1126;Congo, DRC                       
1127;Congo, DRC                       
1128;Congo, DRC                       
1129;Congo, DRC                       
1130;Congo, DRC                       
1131;Congo, DRC                       
1132;Congo, DRC                       
1133;Congo, DRC                       
1134;Congo, DRC                       
1135;Congo, DRC                       
1136;Congo, DRC                       
1137;Congo, DRC                       
1138;Congo, DRC                       
1139;Congo, DRC                       
1140;Congo, DRC                       
1141;Congo, DRC                       
1142;Congo, DRC                       
1143;Congo, DRC                       
1144;Congo, DRC                       
1145;Congo, DRC                       
1146;Congo, DRC                       
1147;Congo, DRC                       
1148;Congo, DRC                       
1149;Congo, DRC                       
1150;Congo, DRC                       
1151;Congo, DRC                       
1152;Congo, DRC                       
1153;Congo, DRC                       
1154;Congo, DRC                       
1155;Congo, DRC                       
1156;Congo, DRC                       
1157;Congo, DRC                       
1158;Congo, DRC                       
1159;Congo, DRC                       
1160;Congo, DRC                       
1161;Congo, DRC                       
1162;Congo, DRC                       
1163;Congo, DRC                       
1164;Congo, DRC                       
1165;Congo, DRC                       
1166;Congo, DRC                       
1167;Congo, DRC                       
1168;Congo, DRC                       
1169;Congo, DRC                       
1170;Congo, DRC                       
1171;Congo, DRC                       
1172;Congo, DRC                       
1173;Congo, DRC                       
1174;Congo, DRC                       
1175;Congo, DRC                       
1176;Congo, DRC                       
1177;Congo, DRC                       
1178;Congo, DRC                       
1179;Congo, DRC                       
1180;Congo, DRC                       
1181;Congo, DRC                       
1182;Congo, DRC                       
