PLA_TYPE;Date;Country;PLA_ID
Boeing 707-323C                         ;11/30/1995;Azerbaijan;404
Boeing 707-324C                         ;09/11/1979;Taiwan;405
Boeing 707-327C                         ;06/09/1973;Brazil;406
Boeing 707-328C                         ;07/21/1988;Nigeria;407
Boeing 707-329C                         ;07/13/1968;Nigeria;408
Boeing 707-330C                         ;10/21/2009;United Arab Emirates;409
Boeing 707-331C                         ;07/26/1969;New Jersey;410
Boeing 707-336C                         ;08/15/1985;Yemen;411
Boeing 707-351C                         ;04/13/1987;Kansas;412
Boeing 707-360C                         ;11/19/1977;Italy;413
Boeing 707-373                          ;08/02/1976;Iran;414
Boeing 707-373C                         ;12/14/1983;Colombia;415
Boeing 707-3J9C                         ;01/14/2019;Iran;416
Boeing 720-030B                         ;12/04/1961;Germany;417
Boeing 727-21                           ;11/15/1966;Germany;418
Boeing 727-23F                          ;11/18/2006;Colombia;419
Boeing 727-243F                         ;07/07/1999;Nepal;420
Boeing 727-24C                          ;09/30/1975;Colombia;421
Boeing 727-286                          ;06/09/1996;Iran;422
Boeing 727-2JOF                         ;12/20/2016;Colombia;423
Boeing 737 Max 8                        ;03/10/2019;Ethiopia;424
Boeing 737-200                          ;07/05/1972;California;425
Boeing 737-201                          ;05/18/2018;Cuba;426
Boeing 737-230                          ;09/05/2005;Indonesia;427
Boeing 737-236                          ;04/20/2012;Pakistan;428
Boeing 737-286                          ;10/15/1986;Iran;429
Boeing 737-2A1C                         ;06/22/1992;Brazil;430
Boeing 737-2B7                          ;10/29/2006;Nigeria;431
Boeing 737-2D6C                         ;12/21/1994;England;432
Boeing 737-2J8C                         ;07/08/2003;Sudan;433
Boeing 737-2M2                          ;06/28/2007;Angola;434
Boeing 737-2R4C                         ;03/08/1994;India;435
Boeing 737-31S                          ;08/14/2005;Greece;436
Boeing 737-4Q8                          ;04/07/1999;Turkey;437
Boeing 737-53A                          ;11/17/2013;Russia;438
Boeing 737-7H4                          ;04/17/2018;Pennsylvania;439
Boeing 737-809                          ;08/20/2007;Japan;440
Boeing 737-8AS                          ;01/25/2010;Lebanon;441
Boeing 737-8BK                          ;09/28/2018;Micronesia;442
Boeing 737-8F2                          ;02/25/2009;Netherlands;443
Boeing 737-8HG                          ;05/22/2010;India;444
Boeing 737-8KN (WL)                     ;03/19/2016;Russia;445
Boeing 737-MAX 8                        ;10/29/2018;Indonesia;446
